ID #,Capability Pillar,Capability Description,Capability Outcome,Impact to ZT,Associated Activities,Related NIST Controls,Azure Commercial Remediation,Azure Government Remediation
1.1,User Inventory 1 -,User,administrative rights) of all authorized,and,* Inventory User,AC-2,Entra ID (Azure AD): standardize user inventory via master directory; use Access Reviews for periodic validation; disable stale accounts.,Entra ID (Azure AD) in Azure Gov: same approach; run Access Reviews; disable stale/guest accounts.
1.2,Conditional User Access 1 -,User with traditional role based access controls across,a federate dynamically changing user risk profiles,and fine degree of risk will be denied,access * Rule Based Dynamic Access Pt2,"AC-3, AC-6, IA-2, IA-10",Conditional Access + user risk (Identity Protection); app-based assignments; ABAC via dynamic groups; enforce least privilege RBAC.,Conditional Access + Identity Protection in Azure Gov; dynamic groups; RBAC least privilege.
1.3,1 -,User,,,* Alternative Flexible MFA Pt1,"IA-2, IA-2(1), IA-5",Require MFA for all users esp. privileged roles (PIM); enable FIDO2/Certificate-based auth; enforce per-app CA policies.,Require MFA across tenants; PIM for privileged roles; support CAC/PIV/Certificate-based auth.
1.4,1 -,User,,,,"AC-6, AC-2(7), AU-2, AU-6",Deploy PIM for JIT/JEA; vault break-glass; monitor privileged role activity with Azure AD logs and Defender for Cloud Apps.,PIM for Azure Gov; require approvals/justification; monitor privileged sign-ins via logs/Sentinel.
1.5,1 -,User,,users managed by other agencies.,,"IA-2, IA-4, IA-5, AC-2","Federate identities with Entra ID; use Identity Governance (Lifecycle workflows, entitlement mgmt); enable SSO across apps.",Same in Azure Gov; use cross-tenant access + claims mapping; enable SSO to gov services.
1.6,1 -,User,,biometric telemetry enhances,MFA,"IA-10, SI-4",Enable Identity Protection risk policies; integrate UEBA via Microsoft Defender XDR & Sentinel; feed risk to CA.,Use Identity Protection (Gov availability) and Sentinel UEBA; drive CA decisions from risk.
1.7,Least Privileged Access 1 -,User,the absolute minimum access,required to,* Deny User by Default Policy,"AC-6, AC-5",Enforce least privilege via RBAC; use Access Reviews; deny-by-default on resources; use PIM for elevation.,Same in Azure Gov; baseline with Azure Policy to audit excessive roles.
1.8,1 -,User,and authorize users' access to DAAS,within and,,"IA-10, IA-2",Implement step-up auth via CA; re-auth on sensitive actions; token lifetime policies (continuous access eval where supported).,Same; CA session controls and periodic reauth in Gov.
1.9,1 -,User they need and have the right to access via,credential the need and the right to know;,organizations authorized and authenticated,* Enterprise PKI/IDP Pt2,"IA-2, IA-4, IA-5, AC-2",Centralize ICAM with Entra ID; manage credentials in Key Vault; enable certificate trust chain with Azure AD CBA.,Use Entra ID for Gov; integrate DoD PKI/CAC CBA; manage secrets in Azure Key Vault (Gov).
2.1,Device Inventory 2 -,Device connection. Device attributes will include technical,details such,,,CM-8,Use Microsoft Intune + Defender for Endpoint inventory; Azure Resource Graph for asset inventory; tag devices/resources.,Same using GCC High/Gov endpoints; Azure Resource Graph in Gov; Intune (GCCH) device inventory.
2.2,2 -,Device,"mobile, IOT, managed, and",unmanaged),,"RA-5, CM-7",Intune compliance policies + Conditional Access; Defender for Endpoint health; block noncompliant devices.,Same in Gov tenants; enforce CA require compliant device; DfE for Gov.
2.3,2 -,Device,,,* Integrate NextGen AV Tools with C2C,"AC-3, SI-4","Use Defender for Endpoint (EDR), App Control (WDAC), FIM; require device certs; gate access via CA and Private Access (ZTNA).",DfE Gov + WDAC; device certs; CA with device state signals.
2.4,Remote Access 2 -,Device,,,,"AC-17, IA-2, SC-7, SC-8",Publish remote apps via Azure Virtual Desktop/Bastion; enforce MFA; use Private Link/ZTNA; VPN/ER for private paths.,AVD for Gov; Bastion; enforce MFA; Private Link (Gov) or ER Gov.
2.5,2 -,Device deploy vendor patches for connected devices;,hybrid patch for connected devices; hybrid,patch deploying vendor patches to,all,"RA-5, SI-2",Defender for Cloud/Endpoint vulnerability assessment; Update Management center; automate patching via Intune/Arc.,Same in Gov; Defender VA for Gov; Update Mgmt; Intune/Arc.
2.6,2 -,Device computer and mobile devices to a single console,regardless of agentless management of computer,and single console to provide redress,of * Enterprise Device Management Pt1,"AC-19, CM-7",Deploy Intune (UEM/MDM); enforce device config baselines; app protection (MAM) for BYOD.,Intune GCCH; device compliance + MAM; baseline policies.
2.7,Detection & Response 2 -,Device endpoints. Expanding the capability to include,XDR tooling endpoints as a baseline. Upgrading,to XDR,,"SI-4, IR-5",Enable Defender for Endpoint (EDR) and Defender XDR; integrate with Sentinel for automated response.,DfE/DfXDR Gov; Sentinel (Gov) with playbooks.
3.1,Application Inventory,and application components that have been,authorized by the,application components are,not * Application/Code Identification,"CM-8, SA-5",Catalog applications via Azure AD enterprise apps; track components in Azure DevOps/Repos; tag resources.,Same in Gov; maintain app inventory in Entra ID.
3.2,Development &,"and best practices. Controls such as code review,",runtime,and dynamic application security,,"SA-3, SA-11, RA-5",Adopt DevSecOps in GitHub/Azure DevOps (CI/CD with SAST/DAST/Container scanning); Defender for DevOps.,Same; self-hosted agents in Gov; Defender for DevOps where available.
3.3,,"approved repositories and update channels, and",vulnerability,,,"SA-12, SA-15, RA-5",SBOM generation (GitHub Advanced Security/Dependabot); approve repos; Defender for DevOps supply chain insights.,Same in Gov; private registries (ACR) with content trust.
3.4,,,,,* SDC Resource Authorization Pt2,"AC-3, AC-4",Use API Management + Managed Identities; authorize via Entra tokens; micro-seg with NSG/Firewall and Private Link.,Same in Gov cloud endpoints; APIM in Gov; RBAC/MI.
3.5,and Ongoing,continuously monitor applications and assess,their,effectiveness of deployed security,,"CA-7, CA-2, CA-6",Enable Defender for Cloud regulatory compliance + cATO dashboards; continuous controls monitoring with Policy.,Same in Gov subscriptions; export evidence to Compliance Manager.
4.1,4 -,Data and included within the catalog. The data landscape,must then included within the catalog. The data,landscape,* Data Analysis,"RA-2, CM-8",Discover/classify data with Microsoft Purview; auto-scan storage/SQL; register assets; assess risk.,Purview (Gov availability permitting); otherwise Azure-native discovery + tagging.
4.2,4 -,Data enforceable. Developed enterprise standards,ensure an,"behavior in the valuation, creation,",* Interoperability Standards,"PL-2, PM-9",Define sensitivity labels (MIP); configure data access policies and sharing controls; standardize tagging.,MIP in GCC High; enforce label policies; central governance.
4.3,4 -,Data,with DoD enterprise governance,"on assessment, and situational",* Manual Data Tagging Pt2,"MP-3, AC-16",Apply MIP sensitivity labels; auto-label with Purview; propagate attributes to enforcement points.,Same in Gov; auto/manual labeling via MIP.
4.4,4 -,Data,"includes information about the access,","sharing,",,"SI-4, AU-2","Enable DLP, Insider Risk, and Purview audit; file/database activity monitoring; log to Sentinel.",Gov equivalents: DLP/Insider Risk (if available) + Sentinel ingestion.
4.5,4 -,Data Management (DRM) tooling. The DRM solution,utilizes data tags strategy for encrypting data at rest,and in the risk of unauthorized data,access * DRM Enforcement via Data Tags and Analytics,"SC-12, SC-13, SC-28","Encrypt at rest (SSE, TDE) & in transit (TLS1.2+); use Key Vault CMK/MHSM; enable MIP Rights Management.",Same in Gov; Key Vault Gov/HSM; RMS in GCC High.
4.6,4 -,Data,,transmissions are detected and,,"SI-4, AC-4",Deploy Endpoint/Exchange/SharePoint/Teams DLP; start monitor then block; tune with labels.,DLP (GCC High) monitor→block; integrate labels.
4.7,Data Access Control 4 -,Data Defined Storage (SDS) is utilized to scale manage,permissions to to and use of data based on the,data and cybersecurity will be sufficiently,* Integrate Solution(s) and Policy with Enterprise,"AC-3, AC-16","Gate data by labels/attributes (MIP + SDS patterns); enforce via storage ACLs, RBAC, and Private Link.",Same; enforce RBAC/ACLs in Gov; labels drive access.
5.1,Data Flow Mapping,ensure authorized access and protection for network,and DAAS traffic data flows and patterns to,ensure,,"SC-7, CA-3",Map flows with NSG flow logs/Traffic Analytics; Workbook in Sentinel; document APIs and service paths.,Same in Gov; Traffic Analytics in Gov regions; Sentinel workbooks.
5.2,,the data plane. Integrations are conducted with,decision points infrastructure to separate the control,and data additional visibility into the,,"SC-7, AC-4",Implement Azure Firewall/Firewall Manager; centralize control plane; use Policy to enforce SDN constructs.,Azure Gov: Firewall/NSGs; Policy for SDN patterns.
5.3,Macro Segmentation,,,,,SC-7,Macro segments via VNets/subscriptions/MGs; central ingress (Front Door/AppGW+WAF).,Same; use Gov endpoints for Front Door/AppGW (if available).
5.4,Micro Segmentation,,,,,SC-7,"Microsegment with NSGs, ASGs, Private Endpoints; host-level controls (Defender for Servers, WDAC).",Same in Gov; Private Endpoints and NSGs.
