ID#,Activity Name,Pillar,Responsibility,Activity Type,Duration,Descriptions,Outcomes,End State,Predecessor(s),Successor(s),Related NIST Controls,Azure Commercial Remediation,Azure Government Remediation
1.1.1,Inventory User,User,Component,Target Level ZT,25.9,"DoD Components utilize Enterprise authoritative source of (PE/NPE) 
identity (PE - AMID, NIS, AFID) and/or establish or augment with local 
authoritative source. Identity management can be done manually if 
needed, preparing for automated approach in later stages. Identity 
source is connected to identity life cycle management processes (i.e. 
joiner/mover/leaver/returner). IT privileged users are clearly identified.","1. Identified managed non-privileged users.
2. Identified managed privileged users.
3. Identified applications using their own user account
management for non-administrative and administrative accounts.
4. Identify the authoritative source of identities.","Accurately determine and keep track of users who have 
both the authorization and authentication to access 
critical systems or resources. This involves regularly 
reviewing, communicating, and carefully examining the 
sources of information that provide the true and up-to-
date user data.",,Rule Based Dynamic Access Pt1,AC-2,"Use Entra ID user inventory, Access Reviews; disable stale/guest accounts.",Same in Azure Gov Entra ID.
1.2.1,"Implement App Based 
Permissions per Enterprise",User,"Enterprise and 
Component",Target Level ZT,17.7,"The DoD ICAM governance establishes a set of user attributes for 
authentication and authorization. These are integrated with the 
“Enterprise Identity Life-Cycle Management Pt1” activity process for a 
complete Enterprise standard. The Enterprise Identity, Credential and 
Access Management (ICAM) solution are enabled for adding/updating 
attributes within the solution to better support identity federation.  
Remaining Privileged Access Management (PAM) activities are approved 
and tailored as specified by roles.","1. Enterprise roles/attributes needed for user authorization to
application functions and/or data have been vetted and approved 
through the ICAM governance processes.
2. Approved Component ICAM implementations will maintain and
make available authoritative information about their personnel (i.e.
attributes and entitlements), while maximizing the usage of self-
service attributes and entitlements.
3. Components identify attributes associated with PAM activities
within their environment.
4. Component ICAM implementation obtain authoritative
information about personnel (i.e. attributes, and entitlements) 
from a central attribute source once. available, or from other 
Components using standard profiles.","Authoritative attributes requiired to implement 
conditional user access into applications are available to 
support privileged access management.",,,,,
1.2.2,"Rule Based Dynamic Access 
Pt1",User,Component,Target Level ZT,22.1,"DoD Components utilize the rules from the ""Periodic Authentication"" 
activity to build rules enabling and disabling privileges dynamically. IT 
Privileged user accounts utilize the PAM solution to move to dynamic 
privileged access using Just-in-Time (JIT) access and Just-Enough-
Administration (JEA) methods.","1. Access to an applications'/services' functions and/or data are
limited to users with appropriate Attribute-Based Access Control
(users, devices, environment etc.), allowing for granular and flexible 
control. 
2. All possible applications use JIT/JEA permissions for
administrative users.","Periodic challenges occur where access is affected if 
challenge is failed within accepted response 
parameters. Access is always predicated on 
authentication and authorization with activity 
happening (decisions made) in real-time.","Single Authentication;
Inventory User","Rule Based Dynamic Access 
Pt2; AI-enabled Network Access","AC-3, AC-6, IA-10",Conditional Access with user/device risk; dynamic groups; PIM for JIT.,Conditional Access in Gov; dynamic groups; PIM.
1.2.3,"Rule Based Dynamic Access 
Pt2",User,,Advanced Level ZT,15.5,"DoD Components expand the development of rules for dynamic access 
decision making accounting for risk. Solutions used for dynamic access 
are integrated with cross pillar Machine Learning (ML) and Artificial 
Intelligence (AI) functionality enabling automated rule management.","1. Components and services are fully utilizing rules to enable
dynamic access to applications and services.
2. Technology utilized for Rule-Based Dynamic Access supports
integration with AI/ML tooling.",,"Rule Based Dynamic Access 
Pt1; File Activity Monitoring 
Pt2",,"AC-3, AC-6, IA-10",Conditional Access with user/device risk; dynamic groups; PIM for JIT.,Conditional Access in Gov; dynamic groups; PIM.
1.2.4,"Enterprise Gov't roles and 
Permissions Pt1",User,,Advanced Level ZT,11.6,"DoD Components federate remaining user and group attributes as 
appropriate to the Enterprise Identity, Credential and Access 
Management (ICAM) solution. The updated attribute set is used to 
create universal roles for Organizations to use. Core functions of the 
Identity Provider (IdP) and ICAM solutions are migrated to cloud services 
and/or environments enabling improved resilience and performance.","1. Component attribute and role data repository federated with
Enterprise ICAM.
2.Cloud-based Enterprise IdP can be used by cloud and on-premises
applications.
3. A standardized set of roles and permissions are created and
aligned to attributes.",,,"Enterprise Gov't roles and 
Permissions Pt2",,,
1.2.5,"Enterprise Gov't roles and 
Permissions Pt2",User,,Advanced Level ZT,11.2,"DoD Components move all possible functions of the Identity Provider 
(IdP) and Identity, Credential and Access Management (ICAM) solutions 
to cloud environments. Enclave/Denied, Disrupted, Intermittent, and 
Limited (DDIL) environments utilize local capabilities to support 
disconnected functions but ultimately are managed by the centralized 
ICAM. Updated roles are now mandated for usage and exceptions are 
reviewed following a risk-based approach.","1. Components utilize cloud IdP functionality Where possible on-
premise IdP is decommissioned.
2. Permissions and roles are mandated for usage when evaluating
attributes.",,"Enterprise Gov't roles and 
Permissions Pt1",,,,
1.3.1,Organizational MFA/IDP,User,Component,Target Level ZT,10.6,"DoD Components or Identity Provider (IdP) solution using approved 
credential or approved alternative Multi-Factor Authentication (MFA). 
The IdP and MFA solution may be combined in a single application or 
separated as needed assuming automated integration is supported by 
both solutions. Both IdP and MFA support integration with the 
Enterprise PKI capability as well as enabling key pairs to be signed by the 
trusted root certificate authorities. Authentication for mission/task-
critical applications and services authentication is MFA-Enabled and 
leverages the related authentication mechanisms to manage users and 
groups.","1. Component is using IdP with MFA for critical 
applications/services.
2. Components have implemented an Identity Provider (IdP) that 
enables DoD PKI Multi-Factor Authentication (e.g. CAC, DPIV, DoD 
Issued PIV-I, FIPS 201 Compliant softcerts).
3. DoD Enterprise is the approved organizational PKI for critical 
services (ECA, FPKI, Category I/II/III PKI, etc.).
4. Utilize approved Alternative Hardware Tokens as needed - USB 
Security Key and/or OTP device (e.g. Yubikey FIPS for smartcard, 
FIDO2, FIDO U2F, OTP, RSA SecurID for OTP, etc.).
5. For access to low-risk resources (e.g., PII, publicly released 
information), utilize alternative two-step, two-factor authentication 
using software authenticators (i.e., Mobile Connect, Yubico, Okta 
Verify, etc.).","Critical applications are identified and use MFA in 
alignment with a federated IdP solution.",,,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
1.3.2,Alternative Flexible MFA Pt1,User,,Advanced Level ZT,17.4,"DoD  Components Identity Provider (IdP) supports alternative methods 
of Multi-Factor Authentication (MFA) complying with Cyber Security 
requirements (e.g., FIPS 140-2, FIPS 197, etc.). Alternative tokens can be 
used for application-based authentication. MFA options support 
biometric capability and can be managed using a self-service approach. 
Where possible MFA provider(s) are moved to cloud services instead of 
being hosted on-premise.","1. IdP provides user self-service for alternative MFA options for 
approved applications.
2. IdP provides alternative token MFA for approved applications per 
policy.",,Organizational MFA/IDP,Alternative Flexible MFA Pt2,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
1.3.3,Alternative Flexible MFA Pt2,User,,Advanced Level ZT,14.6,"Alternative Multi-Factor Authentication (MFA) methods utilize user 
activity patterns from cross pillar activities such as ""User Activity 
Monitoring (UAM) and User & Entity Behavior Analytics (UEBA)"" to 
assist with access decision making (e.g., not grant access when pattern 
deviation occurs).",1. User activity patterns implemented.,,Alternative Flexible MFA Pt1,,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
1.4.1,"Implement System and 
Migrate Privileged Users Pt1",User,Component,Target Level ZT,12.4,"DoD Components procure and implement a Privileged Access 
Management (PAM) solution to support all critical privileged use cases. 
Application/Service integration points are identified to determine status 
of support for the PAM solution. Applications/Services that easily 
integrate with the PAM solution are transitioned to using the solution 
versus static and direct privileged permissions.","1. Privilege Access Management (PAM) tooling is implemented.
2. Applications and devices that support and do not support PAM 
tools are identified.
3. Applications that support PAM, now use PAM for controlling 
emergency/built-in accounts.","Components implement a PAM tool with a clear 
transition plan that identifies the applications and 
decides what applications require a PAM tool.",,"Implement System and Migrate 
Privileged Users Pt2",,,
1.4.2,"Implement System and 
Migrate Privileged Users Pt2",User,Component,Target Level ZT,14.4,"DoD Components utilize the inventory of supported and unsupported 
Applications/Services for integration with the Privileged Access 
Management (PAM) solution to extend integrations. PAM is integrated 
with the more challenging Applications/Services to maximize PAM 
solution coverage. Exceptions are managed in a risk-based methodical 
approach with the goal of migration off and/or decommissioning 
Applications/Services that do not support the PAM solution.","1. Privileged activities are migrated to PAM and access is fully 
managed.","Ensure secure and controlled access to privileged 
accounts and resources through fully implemented PAM 
solution, mitigating the risk of unauthorized access and 
potential cyber threats.","Implement System and 
Migrate Privileged Users Pt1","Real time Approvals & JIT/JEA 
Analytics Pt1",,,
1.4.3,"Real time Approvals & 
JIT/JEA Analytics Pt1",User,,Advanced Level ZT,12.5,"Identification of necessary attributes (Users, Groups, etc.) are 
automated and integrated into the Privileged Access Management 
(PAM) solution.  Privilege access requests are migrated to the PAM 
solution for automated approvals and denials.","1. Accounts, applications, and data of concern (of greatest risk to 
DoD mission) are identified.
2. Using PAM tools, access to applications/services follows JIT/JEA 
methodology
3. Privileged access requests are automated as appropriate.",,"Implement System and 
Migrate Privileged Users Pt2","Real time Approvals & JIT/JEA 
Analytics Pt2","AC-6, AU-2",Implement PIM; approvals/justification; monitor with logs/Sentinel.,PIM in Gov; monitor via Sentinel.
1.4.4,"Real time Approvals & 
JIT/JEA Analytics Pt2",User,,Advanced Level ZT,8.9,"DoD Components integrate User & Entity Behavior Analytics (UEBA) and 
User Activity Monitoring (UAM) solutions with the Privileged Access 
Management (PAM) solution providing user pattern analytics for 
decision making.","1. UEBA or similar analytic system integrated with PAM tools for 
JIT/JEA account approvals.",,"Real time Approvals & JIT/JEA 
Analytics Pt1",,"AC-6, AU-2",Implement PIM; approvals/justification; monitor with logs/Sentinel.,PIM in Gov; monitor via Sentinel.
