Control Identifier,Control (or Control Enhancement) Name,Control Text,Discussion,Related Controls,Azure Commercial Remediation,Azure Government Remediation
AC-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]: 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy; 2. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control procedures.","Access control policy and procedures address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","IA-1, PM-9, PM-24, PS-8, SI-12 .","Use Azure Policy (NIST SP 800-53 R5 initiative) to define and audit access control policies (e.g., built-ins CMA_0144, CMA_0246, etc):contentReference[oaicite:0]{index=0}.","Use Azure Government NIST SP 800-53 R5 built-in policies (Microsoft-managed controls) to govern AC policy and procedures:contentReference[oaicite:1]{index=1}."
AC-2,Account Management,"a. Define and document the types of accounts authorized to the system. b. Define and document conditions for group and role membership. c. Create, enable, modify, disable, and remove (as necessary) accounts in accordance with organizational policy. d. [Assignment: organization-defined frequency] review accounts for compliance. e. Notify account managers (as defined in AC-2 c(3)) [Assignment: organization-defined events (e.g., job change, termination)]. f. Review accounts for compliance with account control requirements [Assignment: organization-defined frequency]. g. Coordinate account provisioning with account de-provisioning. h. [Selection (one or more): Disable accounts after [Assignment: organization-defined time period] of inactivity; Disable accounts after [Assignment: organization-defined time period] of previous notification; Disable accounts after [Assignment: organization-defined time period] of denial of use]. i. Disable accounts within [Assignment: organization-defined time period] when the accounts are no longer associated with a user or are no longer required. j. Prevent reuse of identifiers for [Assignment: organization-defined time period]. k. Disable identifiers after [Assignment: organization-defined time period] when the identifiers are no longer associated with a user. l. [Selection (one or more): Disable accounts within [Assignment: organization-defined time period] after termination of employee or contractor; Disable accounts within [Assignment: organization-defined time period] after cessation of services for other system users; Other [Assignment: organization-defined event or condition]]. m. [Assignment: organization-defined time period] prior to termination of employment or contractor service, notify account managers and other relevant personnel (as defined in AC-2 c(3)) to disable accounts. n. Limit the use of shared/group accounts. o. Monitor the use of privileged accounts. p. Review accounts for compliance.","Examples of system account types include individual and group accounts, processor accounts, system accounts, application accounts, guest/anonymous accounts, emergency accounts, and temporary accounts. Shared or group accounts can enhance accountability challenges.","AC-3, AC-5, AC-6, AC-17, AC-18, AC-20, AC-24, PM-21, SA-9.","Enforce account management via Azure Policy and RBAC: e.g., limit subscription owners to 3, require account managers, disable stale/blocked accounts (see built-ins):contentReference[oaicite:2]{index=2}. Use Azure AD and Privileged Identity Management to control privileged roles.","Similar to Azure Commercial: use Azure Gov NIST SP 800-53 R5 policies (e.g., 'max 3 owners' built-in:contentReference[oaicite:3]{index=3} and guest account policies) and Azure AD PIM."
AC-2(1),Automated System Account Management,Support the management of system accounts using automated mechanisms.,Automated system account management includes using tools to automate account creation, disablement, reactivation, and deletion.,None.,"Use Azure AD automation and Identity Governance. Enable automated removal or disablement of inactive accounts (e.g. Azure AD Identity Protection, Access Reviews).","Same as Azure Commercial: use Azure AD automated management (e.g., Microsoft Entra Access Review) under Azure Gov policies."
AC-2(2),Automated Temporary and Emergency Accounts,Automatically [Selection: remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period].,Management of temporary and emergency accounts includes immediate disablement after defined time or event.,None.,"Use Azure AD Privileged Identity Management for temporary privilege elevation, and automate disabling of emergency accounts (e.g., via PIM / automation scripts).","Same as Azure Commercial using Azure AD PIM in Azure Gov."
AC-2(3),Disable Accounts,Disable accounts within [Assignment: organization-defined time period] when the accounts are no longer associated with a user or are no longer required.,Disabling expired or inactive accounts prevents unauthorized use of legacy accounts.,None.,"Implement Azure Policy to audit disabled accounts and use Azure AD to disable accounts upon termination (automatically or via workflow).","Same approach in Azure Gov (use portal.azure.us for Azure AD administration)."
AC-2(4),Automated Audit Actions,Use automated mechanisms to audit the allocation, creation, and management of system accounts.,Auditing system account changes is necessary for accountability.,None.,"Enable Azure AD sign-in logs and resource Azure Activity Logs. Assign Azure Policy initiatives for account auditing (see CMA_0020 etc):contentReference[oaicite:4]{index=4}.","Same in Azure Gov: utilize built-in auditing policies and Azure AD logs in gov cloud."
AC-2(5),Inactivity Logout,Automatically log out users after [Assignment: organization-defined time period] of inactivity.,Helps prevent unauthorized access if users leave sessions idle.,None.,"Enforce session timeout via Azure AD Conditional Access or application settings. Use Azure Policy for related settings (custom policies or baseline access controls).","Similar in Gov; implement inactivity timeouts via Azure AD Conditional Access in Azure Government."
AC-2(6),Dynamic Privileges,Group membership or role membership is dynamically adjusted based on user attributes or roles.,","","Same as Azure Commercial: manage via Azure AD dynamic groups.","Likewise in Azure Gov."
AC-2(7),Privileged User Accounts,Employ least privilege for privileged accounts and require separate accounts for admin and non-admin functions.,","","Use Azure AD PIM and privileged roles to manage admin accounts; enforce MFA and monitoring on these roles. Azure Policies (if available) audit privileged role usage.","Same in Azure Gov (use Azure AD PIM and gov policies to monitor roles)."
AC-2(8),Shared / Group Accounts,Group or shared accounts should be permitted only when operationally necessary, and strict rules implemented.,Use shared accounts only if no technical means for individual accounts.,None.,"Use Azure RBAC to avoid shared accounts; if needed, monitor shared account use with alerts. Remove shared/guest accounts via Azure Policy built-ins.","Same in Azure Gov."
AC-2(9),Concurrent Session Control,Limit the number of concurrent sessions for accounts.,Not explicitly addressed by Azure Policies; use Azure AD sign-in policies.,None.,"Azure AD Conditional Access cannot directly limit concurrent sessions, but monitor sign-ins and use Azure AD Identity Protection risk policies for anomalous sign-ins.","Same in Azure Gov."
AC-2(10),Unsuccessful Logon Attempts,Enforce an account lockout threshold for consecutive invalid logon attempts.,Azure AD automatically locks accounts on multiple failures, track via logs.,None.,"Azure AD handles lockouts; monitor via sign-in logs. Use Conditional Access to block risky sign-ins.","Same in Azure Gov."
AC-2(11),Previous Logon (Access) Notification,Notify users or admins of successful logons from new devices or locations.,","","Enable Azure AD Identity Protection risk alerts or use Azure Monitor alerts for unusual sign-ins (Geo/MFA).","Same approach in Azure Gov."
AC-2(12),Session Lock,Force user session lock after [Assignment: organization-defined time] of inactivity.,Prevents unauthorized access to unattended terminals.,None.,"Use Conditional Access or device configuration (Intune) to lock screens after idle time. E.g., configure Windows Security Baseline.","Same configuration in Azure Gov."
AC-2(13),Use of External Group and Domain Accounts,Only allow system access using accounts from approved domains or groups.,Controls migration of accounts across trust boundaries.,None.,"Limit account domain trust: use Azure AD or Entra Verified ID for external accounts. Use Azure AD B2B wisely.","Same with Azure Government Azure AD if using trusted domains."
AC-3,Access Enforcement,Enforce approved authorizations for logical access to system resources.,","","Use Azure RBAC to enforce role-based access. Use Azure Policy to ensure MFA on privileged roles, restrict network flows. (Azure built-ins enforce tag requirements and deny insecure settings.)","Same via Azure Gov RBAC and policies."
AC-3(1),Dynamic Access Control,Adjusts access privileges as user attributes change.,","","Use Azure AD dynamic groups to grant/deny access based on attributes. Use custom Azure Policy for attribute conditions.","Same in Azure Gov."
AC-4,Information Flow Enforcement,Enforce policy for controlling information flow among security domains.,","","Use Azure network security controls (NSGs, firewalls, Service Endpoints) to restrict data flow. Use Private Endpoints and VNet integration. (Azure policies exist to enforce secure transport.)","Same network controls in Azure Gov."
AC-4(1),Cross Domain Information Flow,","","Same as AC-4, use network segmentation and DMZs.",""
AC-5,Separation of Duties,Different persons or roles control critical tasks in different phases.","","Implement Azure RBAC roles to separate duties. Use Privileged Identity Management to require dual approval. Monitor role assignments.","Same in Azure Gov."
AC-6,Least Privilege,Grant only the access needed to perform job.","","Use Azure AD and RBAC to assign minimal roles. Regularly review via Access Reviews. Use PIM to require approval for sensitive roles.","Same in Azure Gov."
AC-6(1),Authorized Use of Privileged Accounts,","","Ensure policies limit privileged account use. Use PIM requiring justification/MFA.","Same in Azure Gov."
AC-6(2),Non-Privileged Accounts,","","Ensure users operate with non-admin accounts. Use Device Guard or App Guard for admin tasks.","Same in Azure Gov."
AC-6(3),Network Access to Privileged/Non-Privileged Accounts,Restrict privileged accounts from network logon where non-privileged accounts are used and vice versa.,","","Use Conditional Access to restrict admin sign-ins to secure workstations. Use Azure AD Named Locations to restrict where admins can log in.","Same in Azure Gov."
AC-7,Unsuccessful Login Attempts,","","Azure AD lockout after repeated failures (handled).","Same in Azure Gov."
AC-7(2),Crack Propagation Delay,","","Not applicable in cloud environment; Azure AD does not allow multiple guesses at once.",""
AC-7(3),Password Guessing,","","Use Azure AD Smart Lockout and CAPTCHA. Enforce MFA to mitigate guessing.","Same in Azure Gov."
AC-8,System Use Notification,Display a logon banner.","","Azure AD sign-in does not have custom banner. For Windows VMs, configure local GPO or login script to show banner.","Same for Azure Government VMs."
AC-9,Previous Logon (Access) Notification,","","Enable Azure AD risk detection and MFA for unusual logins to notify users/admins.","Same in Azure Gov."
AC-10,Concurrent Session Control,","","Not directly in Azure AD. Consider Azure AD access tokens expiration.",""
AC-11,Session Lock,","","Configure session timeouts via Conditional Access or Intune device policies.",""
AC-12,Least Functionality,Configure system features and ports.","","Use Azure Security Center recommendations: disable unused ports, enable web application firewall, use Just-In-Time VM Access, enforce NSG and firewall rules via Azure Policy.","Same in Azure Gov."
AC-12(1),Out-of-Band Access,","","Not applicable in Azure PaaS services. For VMs, use Jump Box/Just-In-Time access via Azure Bastion or PIM.",""
AC-12(2),Partitioning,Use virtualization to segregate resources.","","Azure inherently isolates by subscription/resource groups. Use VNet segmentation and management group boundaries.",""
AC-13,Remote Access,Secure remote access.","","Use Azure Bastion, VPN Gateway, or ExpressRoute. Enforce MFA/Conditional Access for remote admin (Azure AD Conditional Access for portal).","Same in Azure Gov."
AC-14,Permitted Actions without Identification/Authentication,Minimize actions before login.","","Azure users must authenticate via AAD; allow only minimal guest/anonymous (e.g., anonymous web endpoints). Use WAF to protect web apps.","Same in Azure Gov."
AC-17,Remote Access,Protect remote access sessions.","","Require VPN with strong encryption, use Conditional Access, enforce MFA for any remote Azure portal or desktop connections. Azure AD MFA on RDP (Azure Bastion) and VPN.","Same in Azure Gov."
AC-17(1),Managed Access,","","Deploy Azure VPN gateway with endpoint security, enforce MFA, and use Windows Hello for Business on devive endpoints.",""
AC-17(2),Cryptographic Protection,","","Use TLS/SSL for all connections (Azure enforce TLS 1.2+), VPN with IPsec. Use Azure Front Door or Application Gateway with HTTPS.",""
AC-17(3),Private Access,","","Use Azure Private Link and Service Endpoints to restrict access to PaaS to within VNets or on-prem VPN.",""
AC-18,Wireless Access,Control wireless access.","","Not directly Azure-related. Ensure any wireless controllers enforce WPA2/WPA3 with strong auth. Azure Virtual WAN doesn't involve WiFi.",""
AC-18(1),RF Protection,","","Ensure encryption (TLS or IPsec) on all wireless backhaul. Use Azure IoT Edge security for wireless IoT.",""
AC-19,Access Control for Mobile Devices,Secure mobile device access.","","Use Microsoft Intune/Endpoint Manager for MDM. Enforce device compliance (Jailbreak detection, PIN) and conditional access (MFA) for mobile apps.","Same in Azure Gov (Intune in GC)."
AC-20,Use of External Systems,Isolate system from unauthorized external systems.","","Use Network Security Groups and Firewall to isolate. Only connect approved networks (Service Tags). Use DDoS protection on public endpoints.","Same in Azure Gov."
AC-21,Information Sharing,Share information internally only.","","Use Azure RBAC and data classification (sensitivity labels) to control internal vs external sharing. Use Azure Information Protection.","Same in Azure Gov."
AC-22,Publicly Accessible Content,Monitor public content.","","Monitor Azure resources exposed publicly via Azure Security Center (exposure scanner). Use Private Endpoints or disable public access on storage, databases.","Same in Azure Gov."
AC-23,Data Mining Protection,","","Use DLP policies in Microsoft Purview for data mining. For Azure data stores, implement analytics monitoring and role auditing.",""
AC-24,Access Control Decisions,","","Azure RBAC and Conditional Access evaluate access. Ensure policies (MFA, location) are enforced. (Azure AD does decision in real-time.)",""
AC-25,Reference Monitor,","","Built into Azure – cannot modify. Enforce Azure AD Conditional Access and RBAC for runtime access.",""
AC-25(1),Industry Standards,","","Azure controls follow standards (FIPS). No action needed beyond compliance review.",""
AC-25(2),Dual Authorization,","","Use Azure AD Privileged Identity Management for dual consent (approval workflow) on critical role activations.",""
AT-1,Policies and Procedures,Develop security awareness and training policies.","","Document training program. (Azure has CMA policies but org-specific.)","Manual; define training policies outside Azure."
AT-2,Role-Based Training,Provide role-specific training.","","Use Azure training modules (Microsoft Learn) or custom learning paths in Entra ID.",""
AT-3,Security Training,","","Require awareness training. Track via Azure AD SSPR usage or Entra learning.",""
AT-4,Security Training Records,","","Use Microsoft Entra ID audit logs or HR systems; Azure does not retain training records.",""
AU-1,Audit and Accountability Policy and Procedures,","","Use Azure Policy to define audit requirements (CMA_0154), and update info sec policies regularly (CMA_0158):contentReference[oaicite:5]{index=5}.",""
AU-2,Event Logging,Identify auditable events.","","Configure Azure Activity logs, Diagnostics for VMs/storage. Use Azure Policy to enforce logging to Log Analytics (CMA_0137).",""
AU-3,Content of Audit Records,Identify what to log (time, ID, events).","","Azure logs include these by default. Ensure retention. Use Azure Policy to ensure Azure resources have diagnostics enabled.",""
AU-3(1),Additional Audit Information,Collect additional info.","","Enable Azure Security Center to collect threat logs (Defender). Use Azure Monitor alerts (CMA_C1108):contentReference[oaicite:6]{index=6}.",""
AU-4,Audit Storage Capacity,Allocate sufficient storage for logs.","","Use Log Analytics retention settings (default 31d; up to 2y). Monitor usage. Use Azure Policy (CMA_0289) to monitor log storage.",""
AU-5,Response to Audit Logging Failures,Handle failures to log.","","Use Azure Monitor Alerts to detect log ingestion failures. (Azure guarantees logging; failure is unlikely.) Use CMA_0289 for monitoring.",""
AU-5(2),Real-time Alerts,Generate alerts on failures.","","Create Azure Monitor alerts on Activity Log ingestion lag. (CMA_C1114 in Azure policy registry).",""
AU-6,Audit Review,Analysis, Reporting,Review logs regularly.","","Enable Microsoft Defender for key resources: App Service, SQL, Key Vault, etc. (Azure Defender):contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8}. Use Azure Sentinel or Monitor for analysis.",""
CA-1,Security Assessment and Authorization Policy and Procedures,Develop CA policies.","","Manual: Azure uses FedRAMP assessments. Define organizational process for system authorization (uses Azure compliance docs).","Manual; follow Azure compliance documentation."
CA-2,Security Assessments,Perform security assessments.","","Use Azure Security Center regulatory compliance reports. Engage 3rd-party audits. Document results in ATO package.","Same using Azure Government compliance services."
CA-2(1),External Assessments,","","Use Azure SSAE/SOC, FedRAMP reports; hire independent auditors.",""
CA-3,Plan of Actions and Milestones,","","Track remediation in Azure DevOps or Jira. Use Defender recommendations for corrective guidance.",""
